,C,Precision,Recall,Fscore
249,24.9,0.7589,0.7462,0.7512
250,25.0,0.758,0.7479,0.7519
251,25.1,0.758,0.7479,0.7519
252,25.2,0.7576,0.7462,0.7507
253,25.3,0.758,0.7479,0.7519
254,25.4,0.7576,0.7462,0.7507
255,25.5,0.7563,0.7462,0.7502
256,25.6,0.7563,0.7462,0.7502
257,25.7,0.7576,0.7462,0.7507
258,25.8,0.7563,0.7462,0.7502
259,25.9,0.7559,0.7446,0.7491
260,26.0,0.7559,0.7446,0.7491
261,26.1,0.7559,0.7446,0.7491
262,26.2,0.7559,0.7446,0.7491
263,26.3,0.7547,0.7446,0.7486
264,26.4,0.7547,0.7446,0.7486
265,26.5,0.7559,0.7446,0.7491
266,26.6,0.7555,0.7429,0.7479
267,26.7,0.7555,0.7429,0.7479
268,26.8,0.7555,0.7429,0.7479
269,26.9,0.7555,0.7429,0.7479
270,27.0,0.7542,0.7429,0.7474
271,27.1,0.7542,0.7429,0.7474
272,27.2,0.7542,0.7429,0.7474
273,27.3,0.7542,0.7429,0.7474
274,27.4,0.7542,0.7429,0.7474
275,27.5,0.7538,0.7412,0.7462
276,27.6,0.7538,0.7412,0.7462
277,27.7,0.7538,0.7412,0.7462
278,27.8,0.7538,0.7412,0.7462
279,27.9,0.7542,0.7429,0.7474
280,28.0,0.7542,0.7429,0.7474
281,28.1,0.7542,0.7429,0.7474
282,28.2,0.7542,0.7429,0.7474
283,28.3,0.7542,0.7429,0.7474
284,28.4,0.7542,0.7429,0.7474
285,28.5,0.7542,0.7429,0.7474
286,28.6,0.7542,0.7429,0.7474
287,28.7,0.7542,0.7429,0.7474
288,28.8,0.7542,0.7429,0.7474
289,28.9,0.7542,0.7429,0.7474
290,29.0,0.7542,0.7429,0.7474
291,29.1,0.7542,0.7429,0.7474
292,29.2,0.7555,0.7429,0.7479
293,29.3,0.7555,0.7429,0.7479
294,29.4,0.7542,0.7429,0.7474
295,29.5,0.7542,0.7429,0.7474
296,29.6,0.7542,0.7429,0.7474
297,29.7,0.7551,0.7412,0.7467
298,29.8,0.7538,0.7412,0.7462
299,29.9,0.7538,0.7412,0.7462
300,30.0,0.7538,0.7412,0.7462
301,30.1,0.7538,0.7412,0.7462
302,30.2,0.7538,0.7412,0.7462
303,30.3,0.7525,0.7412,0.7457
304,30.4,0.7525,0.7412,0.7457
305,30.5,0.7513,0.7412,0.7452
306,30.6,0.75,0.7412,0.7447
307,30.7,0.7487,0.7412,0.7442
308,30.8,0.745,0.7412,0.7427
309,30.9,0.745,0.7412,0.7427
310,31.0,0.7445,0.7396,0.7416
311,31.1,0.7445,0.7396,0.7416
312,31.2,0.7458,0.7396,0.7421
313,31.3,0.7441,0.7379,0.7404
314,31.4,0.7441,0.7379,0.7404
315,31.5,0.7441,0.7379,0.7404
316,31.6,0.7441,0.7379,0.7404
317,31.7,0.7445,0.7396,0.7416
318,31.8,0.7445,0.7396,0.7416
319,31.9,0.742,0.7396,0.7406
320,32.0,0.7408,0.7396,0.7401
321,32.1,0.7408,0.7396,0.7401
322,32.2,0.7408,0.7396,0.7401
323,32.3,0.7408,0.7396,0.7401
324,32.4,0.742,0.7396,0.7406
325,32.5,0.7396,0.7396,0.7396
326,32.6,0.7408,0.7396,0.7401
327,32.7,0.7408,0.7396,0.7401
328,32.8,0.7408,0.7396,0.7401
329,32.9,0.7408,0.7396,0.7401
330,33.0,0.7408,0.7396,0.7401
331,33.1,0.7404,0.7379,0.7389
332,33.2,0.7404,0.7379,0.7389
333,33.3,0.7416,0.7379,0.7394
334,33.4,0.7404,0.7379,0.7389
335,33.5,0.7391,0.7379,0.7384
336,33.6,0.7391,0.7379,0.7384
337,33.7,0.7391,0.7379,0.7384
338,33.8,0.7387,0.7362,0.7372
339,33.9,0.7387,0.7362,0.7372
340,34.0,0.7387,0.7362,0.7372
341,34.1,0.7383,0.7346,0.7361
342,34.2,0.7383,0.7346,0.7361
343,34.3,0.7366,0.7329,0.7344
344,34.4,0.737,0.7346,0.7356
345,34.5,0.7383,0.7346,0.7361
346,34.6,0.7383,0.7346,0.7361
347,34.7,0.7407,0.7346,0.737
348,34.8,0.7383,0.7346,0.7361
349,34.9,0.7407,0.7346,0.737
350,35.0,0.7374,0.7312,0.7337
351,35.1,0.7382,0.7295,0.733
352,35.2,0.7377,0.7279,0.7318
353,35.3,0.7377,0.7279,0.7318
354,35.4,0.7377,0.7279,0.7318
355,35.5,0.7377,0.7279,0.7318
356,35.6,0.7377,0.7279,0.7318
357,35.7,0.7382,0.7295,0.733
358,35.8,0.7382,0.7295,0.733
359,35.9,0.7382,0.7295,0.733
360,36.0,0.7382,0.7295,0.733
361,36.1,0.7382,0.7295,0.733
362,36.2,0.7386,0.7312,0.7341
363,36.3,0.7386,0.7312,0.7341
364,36.4,0.7382,0.7295,0.733
365,36.5,0.7377,0.7279,0.7318
366,36.6,0.7377,0.7279,0.7318
367,36.7,0.7386,0.7312,0.7341
368,36.8,0.7399,0.7312,0.7347
369,36.9,0.739,0.7279,0.7323
370,37.0,0.7394,0.7295,0.7334
371,37.1,0.7394,0.7295,0.7334
372,37.2,0.7382,0.7295,0.733
373,37.3,0.7382,0.7295,0.733
374,37.4,0.7382,0.7295,0.733
375,37.5,0.7382,0.7295,0.733
376,37.6,0.7369,0.7295,0.7324
377,37.7,0.7369,0.7295,0.7324
378,37.8,0.7365,0.7279,0.7313
379,37.9,0.7365,0.7279,0.7313
380,38.0,0.7369,0.7295,0.7324
381,38.1,0.7382,0.7295,0.733
382,38.2,0.7377,0.7279,0.7318
383,38.3,0.7377,0.7279,0.7318
384,38.4,0.7377,0.7279,0.7318
385,38.5,0.7377,0.7279,0.7318
386,38.6,0.7365,0.7279,0.7313
387,38.7,0.7365,0.7279,0.7313
388,38.8,0.736,0.7262,0.7301
389,38.9,0.736,0.7262,0.7301
390,39.0,0.736,0.7262,0.7301
391,39.1,0.7352,0.7279,0.7308
392,39.2,0.7348,0.7262,0.7296
393,39.3,0.7348,0.7262,0.7296
394,39.4,0.7336,0.7262,0.7291
395,39.5,0.7348,0.7262,0.7296
396,39.6,0.7336,0.7262,0.7291
397,39.7,0.7336,0.7262,0.7291
398,39.8,0.7336,0.7262,0.7291
399,39.9,0.7336,0.7262,0.7291
400,40.0,0.7336,0.7262,0.7291
401,40.1,0.7336,0.7262,0.7291
402,40.2,0.7331,0.7245,0.7279
403,40.3,0.7327,0.7229,0.7268
404,40.4,0.7331,0.7245,0.7279
405,40.5,0.7327,0.7229,0.7268
406,40.6,0.7327,0.7229,0.7268
407,40.7,0.7327,0.7229,0.7268
408,40.8,0.7314,0.7229,0.7263
409,40.9,0.7314,0.7229,0.7263
410,41.0,0.7314,0.7229,0.7263
411,41.1,0.7314,0.7229,0.7263
412,41.2,0.7314,0.7229,0.7263
413,41.3,0.7314,0.7229,0.7263
414,41.4,0.7314,0.7229,0.7263
415,41.5,0.7314,0.7229,0.7263
416,41.6,0.7314,0.7229,0.7263
417,41.7,0.7314,0.7229,0.7263
418,41.8,0.7314,0.7229,0.7263
419,41.9,0.7314,0.7229,0.7263
420,42.0,0.7314,0.7229,0.7263
421,42.1,0.7319,0.7245,0.7274
422,42.2,0.7319,0.7245,0.7274
423,42.3,0.7319,0.7245,0.7274
424,42.4,0.7319,0.7245,0.7274
425,42.5,0.7319,0.7245,0.7274
426,42.6,0.7314,0.7229,0.7263
427,42.7,0.7319,0.7245,0.7274
428,42.8,0.7293,0.7195,0.7234
429,42.9,0.7293,0.7195,0.7234
430,43.0,0.7297,0.7212,0.7246
431,43.1,0.7293,0.7195,0.7234
432,43.2,0.7293,0.7195,0.7234
433,43.3,0.7293,0.7195,0.7234
434,43.4,0.7293,0.7195,0.7234
435,43.5,0.7293,0.7195,0.7234
436,43.6,0.7293,0.7195,0.7234
437,43.7,0.7293,0.7195,0.7234
438,43.8,0.7293,0.7195,0.7234
439,43.9,0.7288,0.7179,0.7222
440,44.0,0.7288,0.7179,0.7222
441,44.1,0.7288,0.7179,0.7222
442,44.2,0.7288,0.7179,0.7222
443,44.3,0.7288,0.7179,0.7222
444,44.4,0.7288,0.7179,0.7222
445,44.5,0.7288,0.7179,0.7222
446,44.6,0.7276,0.7179,0.7217
447,44.7,0.7276,0.7179,0.7217
448,44.8,0.7276,0.7179,0.7217
449,44.9,0.7276,0.7179,0.7217
450,45.0,0.7276,0.7179,0.7217
451,45.1,0.7276,0.7179,0.7217
452,45.2,0.7276,0.7179,0.7217
453,45.3,0.7276,0.7179,0.7217
454,45.4,0.7271,0.7162,0.7205
455,45.5,0.7271,0.7162,0.7205
456,45.6,0.7271,0.7162,0.7205
457,45.7,0.7267,0.7145,0.7193
458,45.8,0.7267,0.7145,0.7193
459,45.9,0.7271,0.7162,0.7205
