C,Precision,Recall,Fscore
30.4,0.8211,0.6745,0.7264
30.7,0.8211,0.6745,0.7264
30.9,0.8211,0.6745,0.7264
17.2,0.8224,0.6728,0.7256
17.3,0.8224,0.6728,0.7256
17.5,0.8224,0.6728,0.7256
17.6,0.8224,0.6728,0.7256
17.7,0.8224,0.6728,0.7256
17.8,0.8224,0.6728,0.7256
23.2,0.8224,0.6728,0.7256
23.4,0.8224,0.6728,0.7256
24,0.8224,0.6728,0.7256
24.1,0.8224,0.6728,0.7256
24.9,0.8224,0.6728,0.7256
25,0.8224,0.6728,0.7256
25.1,0.8224,0.6728,0.7256
25.2,0.8224,0.6728,0.7256
25.8,0.8224,0.6728,0.7256
25.9,0.8224,0.6728,0.7256
26.6,0.8224,0.6728,0.7256
26.8,0.8224,0.6728,0.7256
27.5,0.8224,0.6728,0.7256
28.2,0.8224,0.6728,0.7256
28.3,0.8224,0.6728,0.7256
28.6,0.8224,0.6728,0.7256
28.7,0.8224,0.6728,0.7256
29.5,0.8224,0.6728,0.7256
30.1,0.8224,0.6728,0.7256
30.5,0.8224,0.6728,0.7256
30.6,0.8224,0.6728,0.7256
31,0.8224,0.6728,0.7256
31.2,0.8224,0.6728,0.7256
31.4,0.8224,0.6728,0.7256
31.6,0.8224,0.6728,0.7256
31.8,0.8224,0.6728,0.7256
31.9,0.8224,0.6728,0.7256
32,0.8224,0.6728,0.7256
32.1,0.8224,0.6728,0.7256
32.2,0.8224,0.6728,0.7256
32.4,0.8224,0.6728,0.7256
32.6,0.8224,0.6728,0.7256
32.7,0.8224,0.6728,0.7256
32.9,0.8224,0.6728,0.7256
33,0.8224,0.6728,0.7256
33.1,0.8224,0.6728,0.7256
33.3,0.8224,0.6728,0.7256
33.4,0.8224,0.6728,0.7256
33.5,0.8224,0.6728,0.7256
33.6,0.8224,0.6728,0.7256
33.7,0.8224,0.6728,0.7256
33.9,0.8224,0.6728,0.7256
34,0.8224,0.6728,0.7256
34.1,0.8224,0.6728,0.7256
34.3,0.8224,0.6728,0.7256
34.4,0.8224,0.6728,0.7256
34.5,0.8224,0.6728,0.7256
34.6,0.8224,0.6728,0.7256
34.7,0.8224,0.6728,0.7256
34.8,0.8224,0.6728,0.7256
34.9,0.8224,0.6728,0.7256
35,0.8224,0.6728,0.7256
35.1,0.8224,0.6728,0.7256
35.2,0.8224,0.6728,0.7256
35.3,0.8224,0.6728,0.7256
35.4,0.8224,0.6728,0.7256
35.5,0.8224,0.6728,0.7256
35.6,0.8224,0.6728,0.7256
35.7,0.8224,0.6728,0.7256
35.8,0.8224,0.6728,0.7256
35.9,0.8224,0.6728,0.7256
36,0.8224,0.6728,0.7256
36.1,0.8224,0.6728,0.7256
36.2,0.8224,0.6728,0.7256
36.3,0.8224,0.6728,0.7256
36.4,0.8224,0.6728,0.7256
36.5,0.8224,0.6728,0.7256
36.6,0.8224,0.6728,0.7256
36.7,0.8224,0.6728,0.7256
36.8,0.8224,0.6728,0.7256
36.9,0.8224,0.6728,0.7256
37,0.8224,0.6728,0.7256
37.1,0.8224,0.6728,0.7256
37.2,0.8224,0.6728,0.7256
37.3,0.8224,0.6728,0.7256
37.4,0.8224,0.6728,0.7256
37.5,0.8224,0.6728,0.7256
37.6,0.8224,0.6728,0.7256
37.7,0.8224,0.6728,0.7256
37.8,0.8224,0.6728,0.7256
37.9,0.8224,0.6728,0.7256
38,0.8224,0.6728,0.7256
38.1,0.8224,0.6728,0.7256
38.2,0.8224,0.6728,0.7256
38.3,0.8224,0.6728,0.7256
38.4,0.8224,0.6728,0.7256
38.5,0.8224,0.6728,0.7256
38.6,0.8224,0.6728,0.7256
38.7,0.8224,0.6728,0.7256
38.8,0.8224,0.6728,0.7256
38.9,0.8224,0.6728,0.7256
39,0.8224,0.6728,0.7256
39.1,0.8224,0.6728,0.7256
39.2,0.8224,0.6728,0.7256
39.3,0.8224,0.6728,0.7256
39.4,0.8224,0.6728,0.7256
39.5,0.8224,0.6728,0.7256
39.7,0.8224,0.6728,0.7256
39.8,0.8224,0.6728,0.7256
39.9,0.8224,0.6728,0.7256
40,0.8224,0.6728,0.7256
40.1,0.8224,0.6728,0.7256
40.2,0.8224,0.6728,0.7256
40.4,0.8224,0.6728,0.7256
40.5,0.8224,0.6728,0.7256
40.6,0.8224,0.6728,0.7256
40.7,0.8224,0.6728,0.7256
40.8,0.8224,0.6728,0.7256
40.9,0.8224,0.6728,0.7256
41,0.8224,0.6728,0.7256
41.1,0.8224,0.6728,0.7256
41.2,0.8224,0.6728,0.7256
41.3,0.8224,0.6728,0.7256
41.4,0.8224,0.6728,0.7256
41.5,0.8224,0.6728,0.7256
41.6,0.8224,0.6728,0.7256
41.7,0.8224,0.6728,0.7256
41.8,0.8224,0.6728,0.7256
41.9,0.8224,0.6728,0.7256
42,0.8224,0.6728,0.7256
42.1,0.8224,0.6728,0.7256
42.2,0.8224,0.6728,0.7256
42.3,0.8224,0.6728,0.7256
42.4,0.8224,0.6728,0.7256
42.5,0.8224,0.6728,0.7256
42.6,0.8224,0.6728,0.7256
42.7,0.8224,0.6728,0.7256
42.8,0.8224,0.6728,0.7256
42.9,0.8224,0.6728,0.7256
43,0.8224,0.6728,0.7256
43.1,0.8224,0.6728,0.7256
43.2,0.8224,0.6728,0.7256
43.3,0.8224,0.6728,0.7256
43.5,0.8224,0.6728,0.7256
43.6,0.8224,0.6728,0.7256
