,C,Precision,Recall,Fscore
229,0.229,0.6814,0.6177,0.6417
230,0.23,0.6802,0.6144,0.6391
231,0.231,0.6802,0.6144,0.6391
232,0.232,0.6808,0.616,0.6404
233,0.233,0.6808,0.616,0.6404
234,0.234,0.6821,0.616,0.6408
235,0.235,0.6827,0.6177,0.6422
236,0.236,0.6827,0.6177,0.6422
237,0.237,0.6827,0.6177,0.6422
238,0.238,0.6833,0.616,0.6413
239,0.239,0.6815,0.6144,0.6396
240,0.24,0.6815,0.6144,0.6396
241,0.241,0.6815,0.6144,0.6396
242,0.242,0.6834,0.6127,0.6391
243,0.243,0.6816,0.611,0.6374
244,0.244,0.6802,0.6144,0.6391
245,0.245,0.6796,0.6127,0.6378
246,0.246,0.6802,0.6144,0.6391
247,0.247,0.679,0.6144,0.6387
248,0.248,0.679,0.6144,0.6387
249,0.249,0.6778,0.611,0.6361
250,0.25,0.6784,0.6127,0.6374
251,0.251,0.6784,0.6127,0.6374
252,0.252,0.684,0.6144,0.6405
253,0.253,0.6784,0.6127,0.6374
254,0.254,0.6796,0.6127,0.6378
255,0.255,0.6784,0.6127,0.6374
256,0.256,0.6833,0.616,0.6413
257,0.257,0.6759,0.6127,0.6365
258,0.258,0.6833,0.616,0.6413
259,0.259,0.6778,0.611,0.6361
260,0.26,0.6803,0.611,0.637
261,0.261,0.6778,0.611,0.6361
262,0.262,0.6784,0.6093,0.6352
263,0.263,0.6759,0.6093,0.6343
264,0.264,0.6747,0.6093,0.6339
265,0.265,0.6747,0.6093,0.6339
266,0.266,0.6747,0.6093,0.6339
267,0.267,0.6753,0.611,0.6352
268,0.268,0.6747,0.6093,0.6339
269,0.269,0.6747,0.6093,0.6339
270,0.27,0.6759,0.6127,0.6365
271,0.271,0.6808,0.616,0.6404
272,0.272,0.6783,0.616,0.6395
273,0.273,0.6753,0.611,0.6352
274,0.274,0.6783,0.616,0.6395
275,0.275,0.6783,0.616,0.6395
276,0.276,0.6783,0.616,0.6395
277,0.277,0.6783,0.616,0.6395
278,0.278,0.6777,0.6144,0.6382
279,0.279,0.6777,0.6144,0.6382
280,0.28,0.6777,0.6144,0.6382
281,0.281,0.6771,0.6127,0.6369
282,0.282,0.6771,0.6127,0.6369
283,0.283,0.6777,0.6144,0.6382
284,0.284,0.6771,0.6127,0.6369
285,0.285,0.679,0.6144,0.6387
286,0.286,0.6784,0.6127,0.6374
287,0.287,0.6784,0.6127,0.6374
288,0.288,0.6771,0.6127,0.6369
289,0.289,0.6784,0.6093,0.6352
290,0.29,0.6784,0.6127,0.6374
291,0.291,0.6778,0.611,0.6361
292,0.292,0.6778,0.611,0.6361
293,0.293,0.6747,0.6093,0.6339
294,0.294,0.6759,0.6127,0.6365
295,0.295,0.6734,0.6093,0.6334
296,0.296,0.6734,0.6093,0.6334
297,0.297,0.6734,0.6093,0.6334
298,0.298,0.6728,0.6077,0.6322
299,0.299,0.6759,0.6093,0.6343
300,0.3,0.6747,0.6093,0.6339
301,0.301,0.6759,0.6093,0.6343
302,0.302,0.6772,0.6093,0.6348
303,0.303,0.6772,0.6093,0.6348
304,0.304,0.6734,0.6093,0.6334
305,0.305,0.676,0.606,0.6322
306,0.306,0.676,0.606,0.6322
307,0.307,0.6753,0.6077,0.633
308,0.308,0.6747,0.606,0.6317
309,0.309,0.6728,0.6077,0.6322
310,0.31,0.6734,0.6093,0.6334
311,0.311,0.6747,0.606,0.6317
312,0.312,0.6734,0.6093,0.6334
313,0.313,0.6754,0.6043,0.6309
314,0.314,0.6734,0.6093,0.6334
315,0.315,0.6728,0.6077,0.6322
316,0.316,0.6728,0.6077,0.6322
317,0.317,0.6722,0.606,0.6309
318,0.318,0.6728,0.6077,0.6322
319,0.319,0.6716,0.6043,0.6295
320,0.32,0.6747,0.606,0.6317
321,0.321,0.6747,0.606,0.6317
322,0.322,0.6747,0.606,0.6317
323,0.323,0.6722,0.606,0.6309
324,0.324,0.6722,0.606,0.6309
325,0.325,0.6741,0.6043,0.6304
326,0.326,0.6716,0.6043,0.6295
327,0.327,0.6716,0.6043,0.6295
328,0.328,0.6716,0.6043,0.6295
329,0.329,0.6741,0.6043,0.6304
330,0.33,0.6716,0.6077,0.6317
331,0.331,0.6722,0.606,0.6309
332,0.332,0.671,0.606,0.6304
333,0.333,0.6741,0.6043,0.6304
334,0.334,0.676,0.6027,0.63
335,0.335,0.676,0.6027,0.63
336,0.336,0.676,0.6027,0.63
337,0.337,0.676,0.6027,0.63
338,0.338,0.676,0.6027,0.63
339,0.339,0.676,0.6027,0.63
340,0.34,0.676,0.6027,0.63
341,0.341,0.6754,0.601,0.6287
342,0.342,0.6748,0.6027,0.6296
343,0.343,0.6766,0.6043,0.6313
344,0.344,0.6741,0.6043,0.6304
345,0.345,0.6766,0.6043,0.6313
346,0.346,0.6748,0.5993,0.6274
347,0.347,0.6735,0.5993,0.6269
348,0.348,0.6735,0.5993,0.6269
349,0.349,0.6748,0.6027,0.6296
350,0.35,0.6748,0.5993,0.6274
351,0.351,0.6742,0.601,0.6283
352,0.352,0.6748,0.5993,0.6274
353,0.353,0.6748,0.6027,0.6296
354,0.354,0.6754,0.6043,0.6309
355,0.355,0.6735,0.5993,0.6269
356,0.356,0.6742,0.601,0.6283
357,0.357,0.6741,0.6043,0.6304
358,0.358,0.676,0.6027,0.63
359,0.359,0.6748,0.5993,0.6274
360,0.36,0.6742,0.601,0.6283
361,0.361,0.676,0.6027,0.63
362,0.362,0.6748,0.5993,0.6274
363,0.363,0.6748,0.5993,0.6274
364,0.364,0.6736,0.596,0.6248
365,0.365,0.6717,0.5977,0.6253
366,0.366,0.6742,0.5977,0.6261
367,0.367,0.6735,0.5993,0.6269
368,0.368,0.6742,0.5977,0.6261
369,0.369,0.6723,0.596,0.6243
370,0.37,0.6729,0.601,0.6278
371,0.371,0.6729,0.601,0.6278
372,0.372,0.6736,0.596,0.6248
373,0.373,0.6736,0.596,0.6248
374,0.374,0.673,0.5943,0.6235
375,0.375,0.6692,0.5977,0.6244
376,0.376,0.6685,0.6027,0.6274
377,0.377,0.6723,0.5993,0.6265
378,0.378,0.6679,0.6043,0.6282
379,0.379,0.6711,0.5927,0.6218
380,0.38,0.671,0.6027,0.6283
381,0.381,0.6723,0.5993,0.6265
382,0.382,0.6667,0.6043,0.6278
