,C,Precision,Recall,Fscore
213,0.213,0.7979,0.7579,0.7734
214,0.214,0.7979,0.7579,0.7734
215,0.215,0.7979,0.7579,0.7734
216,0.216,0.7979,0.7579,0.7734
217,0.217,0.7993,0.7579,0.7739
218,0.218,0.7993,0.7579,0.7739
219,0.219,0.7993,0.7579,0.7739
220,0.22,0.7979,0.7579,0.7734
221,0.221,0.7979,0.7579,0.7734
222,0.222,0.7979,0.7579,0.7734
223,0.223,0.7979,0.7579,0.7734
224,0.224,0.8007,0.7579,0.7745
225,0.225,0.8021,0.7579,0.775
226,0.226,0.8004,0.7563,0.7733
227,0.227,0.8004,0.7563,0.7733
228,0.228,0.8004,0.7563,0.7733
229,0.229,0.7986,0.7546,0.7716
230,0.23,0.7986,0.7546,0.7716
231,0.231,0.7986,0.7546,0.7716
232,0.232,0.7986,0.7546,0.7716
233,0.233,0.7986,0.7546,0.7716
234,0.234,0.7986,0.7546,0.7716
235,0.235,0.7986,0.7546,0.7716
236,0.236,0.8,0.7546,0.7721
237,0.237,0.8,0.7546,0.7721
238,0.238,0.7996,0.7529,0.7709
239,0.239,0.8007,0.7513,0.7703
240,0.24,0.8007,0.7513,0.7703
241,0.241,0.8018,0.7496,0.7696
242,0.242,0.8018,0.7496,0.7696
243,0.243,0.8018,0.7496,0.7696
244,0.244,0.8018,0.7496,0.7696
245,0.245,0.8018,0.7496,0.7696
246,0.246,0.8018,0.7496,0.7696
247,0.247,0.8018,0.7496,0.7696
248,0.248,0.8018,0.7496,0.7696
249,0.249,0.8032,0.7496,0.7702
250,0.25,0.8004,0.7496,0.7691
251,0.251,0.8032,0.7496,0.7702
252,0.252,0.8032,0.7496,0.7702
253,0.253,0.8032,0.7496,0.7702
254,0.254,0.8029,0.7479,0.769
255,0.255,0.8029,0.7479,0.769
256,0.256,0.8029,0.7479,0.769
257,0.257,0.8029,0.7479,0.769
258,0.258,0.8029,0.7479,0.769
259,0.259,0.8043,0.7479,0.7695
260,0.26,0.8043,0.7479,0.7695
261,0.261,0.8043,0.7479,0.7695
262,0.262,0.8043,0.7479,0.7695
263,0.263,0.804,0.7462,0.7683
264,0.264,0.804,0.7462,0.7683
265,0.265,0.804,0.7462,0.7683
266,0.266,0.8054,0.7462,0.7688
267,0.267,0.8054,0.7462,0.7688
268,0.268,0.8054,0.7462,0.7688
269,0.269,0.8051,0.7446,0.7677
270,0.27,0.8051,0.7446,0.7677
271,0.271,0.8051,0.7446,0.7677
272,0.272,0.8051,0.7446,0.7677
273,0.273,0.8051,0.7446,0.7677
274,0.274,0.8051,0.7446,0.7677
275,0.275,0.8051,0.7446,0.7677
276,0.276,0.8051,0.7446,0.7677
277,0.277,0.8051,0.7446,0.7677
278,0.278,0.8051,0.7446,0.7677
279,0.279,0.8051,0.7446,0.7677
280,0.28,0.8051,0.7446,0.7677
281,0.281,0.8047,0.7429,0.7664
282,0.282,0.8047,0.7429,0.7664
283,0.283,0.8047,0.7429,0.7664
284,0.284,0.8047,0.7429,0.7664
285,0.285,0.8047,0.7429,0.7664
286,0.286,0.8047,0.7429,0.7664
287,0.287,0.8047,0.7429,0.7664
288,0.288,0.8047,0.7429,0.7664
289,0.289,0.8051,0.7446,0.7677
290,0.29,0.8051,0.7446,0.7677
291,0.291,0.8065,0.7446,0.7682
292,0.292,0.8065,0.7446,0.7682
293,0.293,0.8065,0.7446,0.7682
294,0.294,0.8051,0.7446,0.7677
295,0.295,0.8051,0.7446,0.7677
296,0.296,0.8051,0.7446,0.7677
297,0.297,0.8051,0.7446,0.7677
298,0.298,0.8051,0.7446,0.7677
299,0.299,0.8051,0.7446,0.7677
300,0.3,0.8051,0.7446,0.7677
301,0.301,0.8051,0.7446,0.7677
302,0.302,0.8054,0.7462,0.7688
303,0.303,0.8054,0.7462,0.7688
304,0.304,0.804,0.7462,0.7683
305,0.305,0.8043,0.7479,0.7695
306,0.306,0.8043,0.7479,0.7695
307,0.307,0.8043,0.7479,0.7695
308,0.308,0.8058,0.7479,0.77
309,0.309,0.8058,0.7479,0.77
310,0.31,0.8058,0.7479,0.77
311,0.311,0.8058,0.7479,0.77
312,0.312,0.8058,0.7479,0.77
313,0.313,0.8061,0.7496,0.7712
314,0.314,0.8061,0.7496,0.7712
315,0.315,0.8061,0.7496,0.7712
316,0.316,0.8061,0.7496,0.7712
317,0.317,0.8076,0.7496,0.7718
318,0.318,0.805,0.7513,0.7719
319,0.319,0.8061,0.7496,0.7712
320,0.32,0.8065,0.7513,0.7724
321,0.321,0.8065,0.7513,0.7724
322,0.322,0.8065,0.7513,0.7724
323,0.323,0.8065,0.7513,0.7724
324,0.324,0.8065,0.7513,0.7724
325,0.325,0.8065,0.7513,0.7724
326,0.326,0.8065,0.7513,0.7724
327,0.327,0.8061,0.7496,0.7712
328,0.328,0.8058,0.7479,0.77
329,0.329,0.8054,0.7462,0.7688
330,0.33,0.8054,0.7462,0.7688
331,0.331,0.8054,0.7462,0.7688
332,0.332,0.8054,0.7462,0.7688
333,0.333,0.8054,0.7462,0.7688
334,0.334,0.8054,0.7462,0.7688
335,0.335,0.8054,0.7462,0.7688
336,0.336,0.8065,0.7446,0.7682
337,0.337,0.808,0.7446,0.7687
338,0.338,0.8076,0.7429,0.7675
339,0.339,0.8091,0.7429,0.768
340,0.34,0.8106,0.7429,0.7686
341,0.341,0.812,0.7429,0.7691
342,0.342,0.812,0.7429,0.7691
343,0.343,0.812,0.7429,0.7691
344,0.344,0.812,0.7429,0.7691
345,0.345,0.812,0.7429,0.7691
346,0.346,0.8124,0.7446,0.7703
347,0.347,0.8124,0.7446,0.7703
348,0.348,0.8124,0.7446,0.7703
349,0.349,0.8109,0.7446,0.7698
350,0.35,0.8109,0.7446,0.7698
351,0.351,0.8109,0.7446,0.7698
352,0.352,0.8109,0.7446,0.7698
353,0.353,0.8109,0.7446,0.7698
354,0.354,0.8109,0.7446,0.7698
355,0.355,0.8109,0.7446,0.7698
356,0.356,0.8109,0.7446,0.7698
357,0.357,0.8109,0.7446,0.7698
358,0.358,0.8109,0.7446,0.7698
359,0.359,0.8109,0.7446,0.7698
360,0.36,0.8109,0.7446,0.7698
361,0.361,0.8109,0.7446,0.7698
362,0.362,0.8109,0.7446,0.7698
363,0.363,0.8109,0.7446,0.7698
364,0.364,0.8109,0.7446,0.7698
365,0.365,0.8109,0.7446,0.7698
366,0.366,0.8109,0.7446,0.7698
367,0.367,0.8109,0.7446,0.7698
368,0.368,0.8109,0.7446,0.7698
369,0.369,0.8109,0.7446,0.7698
370,0.37,0.8109,0.7446,0.7698
371,0.371,0.8109,0.7446,0.7698
372,0.372,0.8113,0.7462,0.7709
373,0.373,0.8127,0.7462,0.7714
374,0.374,0.8127,0.7462,0.7714
375,0.375,0.8127,0.7462,0.7714
376,0.376,0.8127,0.7462,0.7714
377,0.377,0.8127,0.7462,0.7714
378,0.378,0.8127,0.7462,0.7714
379,0.379,0.8127,0.7462,0.7714
380,0.38,0.8127,0.7462,0.7714
381,0.381,0.8127,0.7462,0.7714
382,0.382,0.8127,0.7462,0.7714
383,0.383,0.8127,0.7462,0.7714
384,0.384,0.8127,0.7462,0.7714
385,0.385,0.8127,0.7462,0.7714
386,0.386,0.8127,0.7462,0.7714
387,0.387,0.8127,0.7462,0.7714
388,0.388,0.8127,0.7462,0.7714
389,0.389,0.8127,0.7462,0.7714
390,0.39,0.8113,0.7462,0.7709
391,0.391,0.8127,0.7462,0.7714
392,0.392,0.8113,0.7462,0.7709
393,0.393,0.8127,0.7462,0.7714
394,0.394,0.8127,0.7462,0.7714
395,0.395,0.8127,0.7462,0.7714
396,0.396,0.8127,0.7462,0.7714
397,0.397,0.8127,0.7462,0.7714
398,0.398,0.8124,0.7446,0.7703
399,0.399,0.8124,0.7446,0.7703
400,0.4,0.8124,0.7446,0.7703
401,0.401,0.8124,0.7446,0.7703
402,0.402,0.8124,0.7446,0.7703
403,0.403,0.8124,0.7446,0.7703
