,C,Precision,Recall,Fscore
250,25.0,0.7184,0.7579,0.7416
251,25.1,0.7195,0.7579,0.7421
252,25.2,0.7177,0.7596,0.7423
253,25.3,0.7188,0.7596,0.7427
254,25.4,0.7188,0.7596,0.7427
255,25.5,0.7177,0.7596,0.7423
256,25.6,0.7172,0.7579,0.7411
257,25.7,0.7172,0.7579,0.7411
258,25.8,0.7154,0.7596,0.7413
259,25.9,0.715,0.7579,0.7401
260,26.0,0.715,0.7579,0.7401
261,26.1,0.7145,0.7563,0.739
262,26.2,0.715,0.7579,0.7401
263,26.3,0.7156,0.7563,0.7395
264,26.4,0.7145,0.7563,0.739
265,26.5,0.7156,0.7563,0.7395
266,26.6,0.7145,0.7563,0.739
267,26.7,0.7145,0.7563,0.739
268,26.8,0.7156,0.7563,0.7395
269,26.9,0.7123,0.7563,0.7381
270,27.0,0.7134,0.7563,0.7385
271,27.1,0.7123,0.7563,0.7381
272,27.2,0.7111,0.7563,0.7375
273,27.3,0.7111,0.7563,0.7375
274,27.4,0.7089,0.7563,0.7366
275,27.5,0.71,0.7563,0.7371
276,27.6,0.7105,0.7579,0.7382
277,27.7,0.7105,0.7579,0.7382
278,27.8,0.7094,0.7579,0.7377
279,27.9,0.7105,0.7579,0.7382
280,28.0,0.7094,0.7579,0.7377
281,28.1,0.7083,0.7579,0.7372
282,28.2,0.7061,0.7579,0.7363
283,28.3,0.7061,0.7579,0.7363
284,28.4,0.7061,0.7579,0.7363
285,28.5,0.705,0.7579,0.7358
286,28.6,0.705,0.7579,0.7358
287,28.7,0.705,0.7579,0.7358
288,28.8,0.705,0.7579,0.7358
289,28.9,0.705,0.7579,0.7358
290,29.0,0.7017,0.7579,0.7344
291,29.1,0.7039,0.7579,0.7353
292,29.2,0.7028,0.7579,0.7349
293,29.3,0.7022,0.7596,0.7355
294,29.4,0.7043,0.7596,0.7365
295,29.5,0.7,0.7596,0.7346
296,29.6,0.7,0.7596,0.7346
297,29.7,0.6989,0.7596,0.7341
298,29.8,0.6994,0.7613,0.7353
299,29.9,0.6994,0.7613,0.7353
300,30.0,0.6983,0.7613,0.7348
301,30.1,0.6977,0.7629,0.7354
302,30.2,0.6966,0.7629,0.7349
303,30.3,0.6966,0.7629,0.7349
304,30.4,0.695,0.7646,0.7352
305,30.5,0.6929,0.7646,0.7342
306,30.6,0.6918,0.7646,0.7337
307,30.7,0.6902,0.7663,0.7339
308,30.8,0.6892,0.7663,0.7335
309,30.9,0.6892,0.7663,0.7335
310,31.0,0.6882,0.7663,0.733
311,31.1,0.6886,0.7679,0.7341
312,31.2,0.6876,0.7679,0.7336
313,31.3,0.6876,0.7679,0.7336
314,31.4,0.6881,0.7696,0.7348
315,31.5,0.687,0.7696,0.7343
316,31.6,0.686,0.7696,0.7338
317,31.7,0.6845,0.7679,0.7322
318,31.8,0.6845,0.7679,0.7322
319,31.9,0.6815,0.7679,0.7308
320,32.0,0.6805,0.7679,0.7304
321,32.1,0.6805,0.7679,0.7304
322,32.2,0.6805,0.7679,0.7304
323,32.3,0.6805,0.7679,0.7304
324,32.4,0.6805,0.7679,0.7304
325,32.5,0.6775,0.7679,0.729
326,32.6,0.6755,0.7679,0.7281
327,32.7,0.6755,0.7679,0.7281
328,32.8,0.6755,0.7679,0.7281
329,32.9,0.6755,0.7679,0.7281
330,33.0,0.6745,0.7679,0.7276
331,33.1,0.6735,0.7679,0.7271
332,33.2,0.6735,0.7679,0.7271
333,33.3,0.6725,0.7679,0.7267
334,33.4,0.6706,0.7679,0.7258
335,33.5,0.6715,0.7679,0.7262
336,33.6,0.671,0.7696,0.7269
337,33.7,0.6701,0.7696,0.7265
338,33.8,0.6691,0.7696,0.726
339,33.9,0.6681,0.7696,0.7255
340,34.0,0.6681,0.7696,0.7255
341,34.1,0.6681,0.7696,0.7255
342,34.2,0.6686,0.7713,0.7267
343,34.3,0.6676,0.7713,0.7262
344,34.4,0.6676,0.7713,0.7262
345,34.5,0.6662,0.7696,0.7246
346,34.6,0.6657,0.7713,0.7253
347,34.7,0.6657,0.7713,0.7253
348,34.8,0.6643,0.7696,0.7237
349,34.9,0.6643,0.773,0.7255
350,35.0,0.6648,0.7746,0.7266
351,35.1,0.6643,0.773,0.7255
352,35.2,0.6638,0.7746,0.7261
353,35.3,0.6638,0.7746,0.7261
354,35.4,0.6629,0.7746,0.7257
