,C,Precision,Recall,Fscore
426,42.6,0.8224,0.6728,0.7256
427,42.7,0.8224,0.6728,0.7256
428,42.8,0.8224,0.6728,0.7256
429,42.9,0.8224,0.6728,0.7256
430,43.0,0.8224,0.6728,0.7256
431,43.1,0.8224,0.6728,0.7256
432,43.2,0.8224,0.6728,0.7256
433,43.3,0.8224,0.6728,0.7256
434,43.4,0.8221,0.6711,0.7243
435,43.5,0.8224,0.6728,0.7256
436,43.6,0.8224,0.6728,0.7256
437,43.7,0.8221,0.6711,0.7243
438,43.8,0.8224,0.6728,0.7256
439,43.9,0.8224,0.6728,0.7256
440,44.0,0.8224,0.6728,0.7256
441,44.1,0.8224,0.6728,0.7256
442,44.2,0.8224,0.6728,0.7256
443,44.3,0.8224,0.6728,0.7256
444,44.4,0.8228,0.6745,0.7269
445,44.5,0.8224,0.6728,0.7256
446,44.6,0.8224,0.6728,0.7256
447,44.7,0.8224,0.6728,0.7256
448,44.8,0.8224,0.6728,0.7256
449,44.9,0.8224,0.6728,0.7256
450,45.0,0.8224,0.6728,0.7256
451,45.1,0.8228,0.6745,0.7269
452,45.2,0.8224,0.6728,0.7256
453,45.3,0.8224,0.6728,0.7256
454,45.4,0.8221,0.6711,0.7243
455,45.5,0.8224,0.6728,0.7256
456,45.6,0.8224,0.6728,0.7256
457,45.7,0.8224,0.6728,0.7256
458,45.8,0.8224,0.6728,0.7256
459,45.9,0.8224,0.6728,0.7256
460,46.0,0.8224,0.6728,0.7256
461,46.1,0.8224,0.6728,0.7256
462,46.2,0.8224,0.6728,0.7256
463,46.3,0.8224,0.6728,0.7256
464,46.4,0.8224,0.6728,0.7256
465,46.5,0.8224,0.6728,0.7256
466,46.6,0.8224,0.6728,0.7256
467,46.7,0.8224,0.6728,0.7256
468,46.8,0.8221,0.6711,0.7243
469,46.9,0.8221,0.6711,0.7243
470,47.0,0.8224,0.6728,0.7256
471,47.1,0.8224,0.6728,0.7256
472,47.2,0.8224,0.6728,0.7256
473,47.3,0.8224,0.6728,0.7256
474,47.4,0.8224,0.6728,0.7256
475,47.5,0.8224,0.6728,0.7256
476,47.6,0.8224,0.6728,0.7256
477,47.7,0.8224,0.6728,0.7256
478,47.8,0.8224,0.6728,0.7256
479,47.9,0.8224,0.6728,0.7256
480,48.0,0.8224,0.6728,0.7256
481,48.1,0.8224,0.6728,0.7256
482,48.2,0.8224,0.6728,0.7256
483,48.3,0.8224,0.6728,0.7256
484,48.4,0.8221,0.6711,0.7243
485,48.5,0.8224,0.6728,0.7256
486,48.6,0.8224,0.6728,0.7256
487,48.7,0.8224,0.6728,0.7256
488,48.8,0.8224,0.6728,0.7256
489,48.9,0.8224,0.6728,0.7256
490,49.0,0.8224,0.6728,0.7256
491,49.1,0.8224,0.6728,0.7256
492,49.2,0.8224,0.6728,0.7256
493,49.3,0.8224,0.6728,0.7256
494,49.4,0.8224,0.6728,0.7256
495,49.5,0.8224,0.6728,0.7256
496,49.6,0.8224,0.6728,0.7256
497,49.7,0.8224,0.6728,0.7256
498,49.8,0.8224,0.6728,0.7256
499,49.9,0.8224,0.6728,0.7256
