,C,Precision,Recall,Fscore
371,0.371,0.8057,0.7062,0.7429
372,0.372,0.8057,0.7062,0.7429
373,0.373,0.8061,0.7078,0.7441
374,0.374,0.8061,0.7078,0.7441
375,0.375,0.8061,0.7078,0.7441
376,0.376,0.8065,0.7095,0.7454
377,0.377,0.8065,0.7095,0.7454
378,0.378,0.8065,0.7095,0.7454
379,0.379,0.8065,0.7095,0.7454
380,0.38,0.8065,0.7095,0.7454
381,0.381,0.8065,0.7095,0.7454
382,0.382,0.8065,0.7095,0.7454
383,0.383,0.8065,0.7095,0.7454
384,0.384,0.8065,0.7095,0.7454
385,0.385,0.8065,0.7095,0.7454
386,0.386,0.8065,0.7095,0.7454
387,0.387,0.8065,0.7095,0.7454
388,0.388,0.8068,0.7112,0.7466
389,0.389,0.8065,0.7095,0.7454
390,0.39,0.808,0.7095,0.7459
391,0.391,0.808,0.7095,0.7459
392,0.392,0.808,0.7095,0.7459
393,0.393,0.808,0.7095,0.7459
394,0.394,0.808,0.7095,0.7459
395,0.395,0.808,0.7095,0.7459
396,0.396,0.808,0.7095,0.7459
397,0.397,0.8076,0.7078,0.7446
398,0.398,0.8073,0.7062,0.7434
399,0.399,0.8073,0.7062,0.7434
400,0.4,0.8073,0.7062,0.7434
401,0.401,0.8073,0.7062,0.7434
402,0.402,0.8073,0.7062,0.7434
403,0.403,0.8069,0.7045,0.7422
404,0.404,0.8069,0.7045,0.7422
405,0.405,0.8069,0.7045,0.7422
406,0.406,0.8069,0.7045,0.7422
407,0.407,0.8069,0.7045,0.7422
408,0.408,0.8069,0.7045,0.7422
409,0.409,0.8069,0.7045,0.7422
410,0.41,0.8069,0.7045,0.7422
411,0.411,0.8069,0.7045,0.7422
412,0.412,0.8069,0.7045,0.7422
413,0.413,0.8069,0.7045,0.7422
414,0.414,0.8069,0.7045,0.7422
415,0.415,0.8069,0.7045,0.7422
416,0.416,0.8069,0.7045,0.7422
417,0.417,0.8069,0.7045,0.7422
418,0.418,0.8069,0.7045,0.7422
419,0.419,0.8069,0.7045,0.7422
420,0.42,0.8069,0.7045,0.7422
421,0.421,0.8069,0.7045,0.7422
422,0.422,0.8069,0.7045,0.7422
423,0.423,0.8069,0.7045,0.7422
424,0.424,0.8069,0.7045,0.7422
425,0.425,0.8073,0.7062,0.7434
426,0.426,0.8073,0.7062,0.7434
427,0.427,0.8073,0.7062,0.7434
428,0.428,0.8073,0.7062,0.7434
429,0.429,0.8073,0.7062,0.7434
430,0.43,0.8073,0.7062,0.7434
431,0.431,0.8073,0.7062,0.7434
432,0.432,0.8076,0.7078,0.7446
433,0.433,0.808,0.7095,0.7459
434,0.434,0.8092,0.7078,0.7451
435,0.435,0.8084,0.7045,0.7427
436,0.436,0.81,0.7045,0.7432
437,0.437,0.81,0.7045,0.7432
438,0.438,0.81,0.7045,0.7432
439,0.439,0.81,0.7045,0.7432
440,0.44,0.81,0.7045,0.7432
441,0.441,0.8096,0.7028,0.742
442,0.442,0.81,0.7045,0.7432
443,0.443,0.81,0.7045,0.7432
444,0.444,0.8096,0.7028,0.742
445,0.445,0.8096,0.7028,0.742
446,0.446,0.8096,0.7028,0.742
447,0.447,0.8096,0.7028,0.742
448,0.448,0.8096,0.7028,0.742
449,0.449,0.8096,0.7028,0.742
450,0.45,0.8096,0.7028,0.742
451,0.451,0.8096,0.7028,0.742
452,0.452,0.81,0.7045,0.7432
453,0.453,0.81,0.7045,0.7432
454,0.454,0.81,0.7045,0.7432
455,0.455,0.81,0.7045,0.7432
456,0.456,0.81,0.7045,0.7432
457,0.457,0.8096,0.7028,0.742
458,0.458,0.81,0.7045,0.7432
459,0.459,0.8096,0.7028,0.742
460,0.46,0.8096,0.7028,0.742
461,0.461,0.8096,0.7028,0.742
462,0.462,0.8096,0.7028,0.742
463,0.463,0.8096,0.7028,0.742
464,0.464,0.8096,0.7028,0.742
465,0.465,0.8096,0.7028,0.742
